Day,Department,Section,course code,course name,teacher,time,room
Sunday,DBA,BBA-34-B,ACC201,Cost Accounting,MAA,11.30am-12.55pm,211
Sunday,BFT,BFT-30,PAT 321,Sustainable Design (Theory+Lab),SNA,11.30am-12.55pm,C510L
Sunday,JRN,JRN-32,BPJ 308,Media & Society,TAE,11.30am-12.55pm,305
Sunday,JRN,JRN-28,BPJ 407,Sports Reporting,MSZ,11.30am-12.55pm,B205
Sunday,BTE,BTE-35-D,CHEM 123,Chemistry-ll,MSA5,11.30am-12.55pm,318
Sunday,DBA,BBA-34-C,BUS 200,Business Communication,DUG,11.30am-12.55pm,215
Sunday,EEE,EEE-34,BUS 227,Financial & Managerial Accounting,MSK,11.30am-12.55pm,D301
Sunday,EEE,EEE-36,CEN 130,Engineering Drawing,MPH,11.30am-12.55pm,109L
Sunday,CEN,CEN-33,CEN 261,Fluid Mechanics,SMA,11.30am-12.55pm,CL1
Sunday,CEN,CEN-32,CEN 361,Open Channel Flow,MRA3,11.30am-12.55pm,CL2
Sunday,LLB,LLB-30,CRP 454,Code of Criminal Procedure II.,MZK,11.30am-12.55pm,315
Sunday,CSE,CSE-35-D-B,CSE 121,Structured Programming Language,MTA2,11.30am-12.55pm,219
Sunday,CSE,CSE 33-D-A,CSE 227,Algorithm,MMB,11.30am-12.55pm,208
Sunday,CSE,CSE-30-D-A1,CSE 332,Pattern Recognition Sessional,MSD,11.30am-12.55pm,D202L
Sunday,CSE,CSE-30-D-A2,CSE 332,Pattern Recognition Lab,MRB,11.30am-12.55pm,B601L
Sunday,CSE,CSE 29-D-A,CSE 341,Artificial Intelligence,MFJ1,11.30am-12.55pm,218
Sunday,CSE,CSE 29-D-B2,CSE 342,Artificial Intelligence Lab,MTR,11.30am-12.55pm,303L
Sunday,CSE,CSE 29-D-B1,CSE 454,Digital Image Processing Lab,ZRC,11.30am-12.55pm,D204L
Sunday,DBA,BBA-29-B,MGT 303,Operation & Management of NGOs,MAR2,11.30am-12.55pm,208
Sunday,BTE,BTE-32,EEE 221,Elements of Electrical Engg. & Electronics,NFW,11.30am-12.55pm,101 L
Sunday,BTE,BTE-33,EEE 221,Elements of Electrical Engg. & Electronics,MNP,11.30am-12.55pm,105L
Sunday,EEE,EEE-33,EEE 221,Electronics II,MRT,11.30am-12.55pm,D205L
Sunday,EEE,EEE-32,EEE 324,Communication Lab,AJI,11.30am-12.55pm,D 201L
Sunday,EEE,EEE-31,EEE 333,Control system,MHA,11.30am-12.55pm,304L
Sunday,EEE,EEE-30,EEE 419,Mobile Cellular Communication,MNB,11.30am-12.55pm,301L
Sunday,CEN,CEN-36,ENG 101,Composition,MAY,11.30am-12.55pm,B204
Sunday,ENG,ENG-32A,ENL 307,19th Century Literature – II,MTM,11.30am-12.55pm,D305
Sunday,ENG,ENG-32B,ENL 304,Classics in Translation I,MTA,11.30am-12.55pm,308
Sunday,DBA,BBA-32-A,FIN 300,Financial Management,MMM,11.30am-12.55pm,315
Sunday,DBA,BBA-36-B,HIST-101,Hist. of the Emer. of Ind. Bang.,FSC,11.30am-12.55pm,222
Sunday,CSE,CSE 34-D-B,HUM 100,Bangladesh Studies,KCB,11.30am-12.55pm,119
Sunday,BTE,BTE-30-D,HUM 426,Sociology and Industrial Organ. Psychology,CMA,11.30am-12.55pm,113
Sunday,ENG,ENG-35,HUM-100,Bangladesh Studies,ASR,11.30am-12.55pm,318
Sunday,JRN,JRN-33,BPJ 303,Feature writing,PKS,11.30am-12.55pm,221
Sunday,LLB,LLB-34A,LET252L,Law of Equity,MSA,11.30am-12.55pm,213
Sunday,LLB,LLB-35A,LOT 156,Law of Torts,MAP,11.30am-12.55pm,206
Sunday,LLB,LLB 33B,LTP 156,Law of Transfer of Property,ABT,11.30am-12.55pm,211
Sunday,EEE,EEE-35,Math 125,Complex Variable and Vector Analysis,SRA,11.30am-12.55pm,D304
Sunday,CSE,CSE 34-D-A,STAT 235,Statistics,MSH,11.30am-12.55pm,212
Sunday,BBA,BBA-35,STS 100,Basic Statistics (,MSH,11.30am-12.55pm,119
Sunday,BTE,BTE-34,TEX 215,Fabric Manufacturing Engineering-l,NTH,11.30am-12.55pm,302 L
Sunday,BTE,BTE-31,TEX 317,Fabric Structure & Design,MSM2,11.30am-12.55pm,D305
Sunday,BTE,BTE-29-FME,TEX 477,Application of Com. in FME,ZBS,11.30am-12.55pm,D 104 L
Sunday,BTE,BTE-29-WPE,TEX 487,Application of Com. in WPT,KSM,11.30am-12.55pm,C 602 L
Sunday,CEN,CEN-33,ACC 100,Financial Accounting,MSK,1.30pm-02.55pm,D102L
Sunday,DBA,BBA-32-B,ACC 300,Auditing,MSS2,1.30pm-02.55pm,111
Sunday,ENG,ENG-33B,ACC-100,Financial Accounting,MSS2,1.30pm-02.55pm,110
Sunday,BFT,BFT-35,TEX 211,Fiber-Yarn-Fabric,ADB,1.30pm-02.55pm,109L
Sunday,JRN,JRN-35,BPJ 202,Editing,PKS,1.30pm-02.55pm,204
Sunday,JRN,JRN-33,BPJ 306,Development Communication,MDA,1.30pm-02.55pm,D301
Sunday,BTE,BTE-32,EEE 221,Elements of Electrical Engg. & Electronics,NFW,1.30pm-02.55pm,302L
Sunday,EEE,EEE-32,BUS 317,Industrial Management,AJI,1.30pm-02.55pm,301L
Sunday,BFT,BFT-31,BUS 321,Business Communication,MNT,1.30pm-02.55pm,223L
Sunday,CEN,CEN-32,CEN 341,Geotechnical Engineering I,MPH,1.30pm-02.55pm,CL2
Sunday,CSE,CSE 35-D-B,CSE 123,Electronics,MAB,1.30pm-02.55pm,312
Sunday,CSE,CSE-33B,CSE 227,Algorithm,MJK,1.30pm-02.55pm,212
Sunday,CSE,CSE-30-D-A1,CSE 332,Pattern Recognition Sessional,MSD,1.30pm-02.55pm,D202L
Sunday,CSE,CSE-30-D-A2,CSE 332,Pattern Recognition Lab,MRB,1.30pm-02.55pm,B601lL
Sunday,CSE,CSE 31-D-C,CSE 333,Com. Peripherals and Interfacing,CF-1 (New),1.30pm-02.55pm,D304
Sunday,CSE,CSE 29-D-B2,CSE 342,Artificial Intelligence Lab,MTR,1.30pm-02.55pm,303L
Sunday,CSE,CSE 29-D-B1,CSE 454,Digital Image Processing Lab,ZRC,1.30pm-02.55pm,D204L
Sunday,DBA,BBA-29-D,MGT 303,Operation & Management of NGOs,MAR2,1.30pm-02.55pm,118
Sunday,EEE,EEE-31,EEE 311,Measurement and Instrumentation,MRT,1.30pm-02.55pm,304L
Sunday,EEE,EEE-33,EEE 316,Machine Design Lab,MNB,1.30pm-02.55pm,D201L
Sunday,EEE,EEE-30,EEE 363,Power System Protection,MRI2,1.30pm-02.55pm,D205L
Sunday,ENG,ENG35+36,ELIT,524- 20th Century Modern Fiction,MFT,1.30pm-02.55pm,305
Sunday,CEN,CEN-36,ENG 101,Engineering Mechanics,MRA3,1.30pm-02.55pm,D101L
Sunday,CSE,CSE-36-D-A,ENG 101,Composition,MGJ,1.30pm-02.55pm,307
Sunday,EEE,EEE-35,ENG 125,Technical English,MFC2,1.30pm-02.55pm,B204
Sunday,ENG,ENG-35,ENL 104,Elizabethan and Seventeenth Century Poetry,MMR2,1.30pm-02.55pm,219
Sunday,ENG,ENG-34,ENL 305,Intro. to Linguistics,RKM,1.30pm-02.55pm,218
Sunday,ENG,ENG-31A,ENL 401,19th Century Literature – III,MIA,1.30pm-02.55pm,111
Sunday,BFT,BFT-35,FASH 221,Fas. History I,MFC,1.30pm-02.55pm,306
Sunday,DBA,BBA-30-A,FIN 302,Financial Market and Institution,MFR,1.30pm-02.55pm,113
Sunday,LLB,LLB-32B,GCA 358,General Clauses Act & Interpretation of Statutes,MAT2,1.30pm-02.55pm,118
Sunday,LLB,LLB 36 A,HIST-101,Hist. of the Emer. of Ind. Bang.,MSW,1.30pm-02.55pm,213
Sunday,BTE,BTE-30-D,HUM 426,Sociology and Industrial Organ. Psychology,CMA,1.30pm-02.55pm,214
Sunday,DBA,BBA-33-A,HUM-100,Bangladesh Studies,FSC,1.30pm-02.55pm,112
Sunday,JRN,JRN-28,BPJ 407,Sports Reporting,MSZ,1.30pm-02.55pm,MLAB
Sunday,LLB,LLB-30,LOE 455,Law of Evidence.,MZK,1.30pm-02.55pm,117
Sunday,DBA,BBA-33-C,MAT 101,BUSINESS MATHEMATICS II,MRA2,1.30pm-02.55pm,119
Sunday,CSE,CSE-32-D-B,Math 415,Numerical Analysis,MSR,1.30pm-02.55pm,308
Sunday,LLB,LLB 33-B,MEL 352,Mercantile Law -,MSH4,1.30pm-02.55pm,221
Sunday,DBA,BBA-32-C,MGT 301,Human Resource Management,MPC,1.30pm-02.55pm,110
Sunday,DBA,BBA-32-A,MGT 302,Entrepreneurship & Small Business,MKM,1.30pm-02.55pm,206
Sunday,DBA,BBA-36-A,MKT 200,Principles of Marketing,MPS,1.30pm-02.55pm,218
Sunday,DBA,BBA-36-B,MKT 200,Principles of Marketing,MRC,1.30pm-02.55pm,219
Sunday,BFT,BFT-34,PAT 122,Pattern Drafting I: Basic Foundation Lab,MAI2,1.30pm-02.55pm,D302L
Sunday,BFT,BFT-33,PAT 226,Pattern Grading Lab,AIT,1.30pm-02.55pm,D105L
Sunday,CSE,CSE-32-D-A,STAT 235,Statistics,MAIS,1.30pm-02.55pm,206
Sunday,BTE,BTE-33,TEX 312,Yarn Manufacturing Engineering-ll Lab,MSM2,1.30pm-02.55pm,D 104 L
Sunday,BTE,BTE-29-FME,TEX 477,Application of Com. in FME,ZBS,1.30pm-02.55pm,101 L
Sunday,BTE,BTE-29-WPE,TEX 480,Maint. of Wet Processing Machinery,KSM,1.30pm-02.55pm,C 602 L
Sunday,DBA,BBA-32-A,ACC 300,Auditing,MSS2,3.00pm-4.25pm,111
Sunday,JRN,JRN-36,BPJ 101,Origin and Development of Journalism,MPC2,3.00pm-4.25pm,204
Sunday,BTE,BTE-33,HUM 100,Bangladesh Studies,KCB,3.00pm-4.25pm,302L
Sunday,EEE,EEE-33,BUS 217,Professional Ethics,AJI,3.00pm-4.25pm,B204
Sunday,CEN,CEN-36,CEN 103,Surveying,MMS2,3.00pm-4.25pm,D101L
Sunday,CEN,CEN-35,CEN 200,Details of Construction– Lab,MJA2,3.00pm-4.25pm,CL1
Sunday,CEN,CEN-32,CEN 315,Design of Concrete Structures I,AHT,3.00pm-4.25pm,CL2
Sunday,EEE,EEE 35,CHEM-111,Chemistry,MSA5,3.00pm-4.25pm,B205
Sunday,LLB,LLB 33-B,CLU 253,Constitutional Law of UK and USA,SSC,3.00pm-4.25pm,310
Sunday,CSE,CSE-34-A,CSE 211,Object-Oriented Programming,MJK,3.00pm-4.25pm,112
Sunday,CSE,CSE-31-D-C,CSE 324,Com. Networks Lab,MMH2,3.00pm-4.25pm,B601L
Sunday,CSE,CSE 30-D-A1,CSE 412,Compiler Sessional,MTR,3.00pm-4.25pm,D204L
Sunday,CSE,CSE 32-D-A,CSE 413,Micro. and Assembly Programming,MTM2,3.00pm-4.25pm,305
Sunday,CSE,CSE 30-D-A2,CSE 422,Com. Graphics Lab,MFF,3.00pm-4.25pm,303L
Sunday,CSE,CSE 28-D-A,CSE 424,Simulation & Modeling Lab,MNJ,3.00pm-4.25pm,D202L
Sunday,CSE,CSE-29-D-B,CSE 453,Digital Image Processing,CF-3 (New),3.00pm-4.25pm,213
Sunday,DBA,BBA-33-D,MAT 101,BUSINESS MATHEMATICS II,MRA2,3.00pm-4.25pm,215
Sunday,DBA,BBA-35-B,ECO 100,Micro Economics,MRS2,3.00pm-4.25pm,222
Sunday,DBA,BBA-33-C,ECO 200,Macro Economics,MPC,3.00pm-4.25pm,312
Sunday,CSE,CSE-33-B,ECO 213,Economics,MNT,3.00pm-4.25pm,211
Sunday,EEE,EEE-34,EEE 262,Com. Method and Tech. for Engr. Analysis Lab,MNB,3.00pm-4.25pm,D201L
Sunday,EEE,EEE-32,EEE 313,Digital Electronics,DKC,3.00pm-4.25pm,304L
Sunday,EEE,EEE-31,EEE 322,Power System Lab,MNP,3.00pm-4.25pm,105L
Sunday,EEE,EEE-30,EEE 332,Micro. & Interfacing Lab,MRI2,3.00pm-4.25pm,D205L
Sunday,ENG,ENG-35+36,ELIT,524- 20th Century Modern Fiction,MFT,3.00pm-4.25pm,116
Sunday,ENG,ENG-32A,ENL,304- Classics in Translation I,MTA,3.00pm-4.25pm,215
Sunday,ENG,ENG-33B,ENL 204,Eighteenth Century Literature,MRF,3.00pm-4.25pm,318
Sunday,ENG,ENG-32B,ENL 302,19th Century Literature – I,MJA3,3.00pm-4.25pm,208
Sunday,ENG,ENG-31A,ENL 403,Twentieth Century Literature I,MGJ,3.00pm-4.25pm,308
Sunday,ENG,ENG-31A,ENL 403,Twentieth Century Literature I,MGJ,3.00pm-4.25pm,D301
Sunday,DBA,BBA-34-B,FIN 200,Principles of Business Finance,MFA,3.00pm-4.25pm,208
Sunday,CSE,CSE-35-B,HIST 101,Hist. of the Emer. of Ind. Bang.,KCB,3.00pm-4.25pm,113
Sunday,JRN,JRN-35,HUM 101,Bangladesh Studies,ASR,3.00pm-4.25pm,D304
Sunday,BTE,BTE 31+32,HUM 421,Accounting and Marketing,MKM,3.00pm-4.25pm,218
Sunday,LLB,LLB 35 A,HUM-100,Bangladesh Studies,MSW,3.00pm-4.25pm,212
Sunday,JRN,JRN-34,BPJ 301,Comprehensive Reporting,DAC (GT),3.00pm-4.25pm,D305
Sunday,LLB,LLB-34B,LET252,Law of Equity,MSA,3.00pm-4.25pm,221
Sunday,LLB,LLB-34A,CLB-250,Constitutional Law of BD.,MRI3,3.00pm-4.25pm,117
Sunday,LLB,LLB 36-A,LSB 153,Legal System of Bangladesh,MSH4,3.00pm-4.25pm,307
Sunday,CSE,CSE-35-A,MATH 125,Integral Calculus and Vector Analysis,NKC,3.00pm-4.25pm,306
Sunday,BBA,BBA-36-A,MGT 200,Principles of Management,MAN,3.00pm-4.25pm,318
Sunday,BBA,BBA-30-A,MGT 303,Operation & Management of NGOs,MAR2,3.00pm-4.25pm,110
Sunday,BBA,BBA-33-A,MKT 300,Marketing Management,AZM,3.00pm-4.25pm,310
Sunday,BBA,BBA-33-B,MKT 300,Marketing Management,MRC,3.00pm-4.25pm,213
Sunday,BFT,BFT-34,PAT 122,Pattern Drafting I: Basic Foundation Lab,MAI2,3.00pm-4.25pm,D302L
Sunday,BFT,BFT-30,PAT 329,Children's Wear Lab,SNA,3.00pm-4.25pm,C510L
Sunday,BBA,BBA-32-C,STS 201,Research Methodology,MSH3,3.00pm-4.25pm,212
Sunday,BTE,BTE-29-FME,TEX 476,Fabric Manufacturing Engineering -IV Lab,ZBS,3.00pm-4.25pm,101L
Sunday,BBA,BBA-31,ACC 402,Advanced Cost Accounting (BBA-,MAA,4.30pm-5.55pm,212
Sunday,BFT,BFT-31,BUS 411,Apparel Merchandising Management,PMA,4.30pm-5.55pm,204
Sunday,BFT,BFT-30,PAT 329,Children's Wear Lab,SNA,4.30pm-5.55pm,C510L
Sunday,JRN,JRN-36,BPJ 101,Origin and Development of Journalism,MPC2,4.30pm-5.55pm,204
Sunday,BTE,BTE-31,TEX 428,Textile & Quality Management,MIK,4.30pm-5.55pm,117
Sunday,BFT,BFT-33,BUS 215,Micro Economic,MNT,4.30pm-5.55pm,118
Sunday,BBA,BBA-33-B,BUS 300,International Trade,MIA2,4.30pm-5.55pm,116
Sunday,CEN,CEN-35,CEN 200,Details of Construction– Lab,MJA2,4.30pm-5.55pm,CL1
Sunday,CEN,CEN-34,CEN 201,Engineering Materials,MSH2,4.30pm-5.55pm,109L
Sunday,CEN,CEN-33,CEN 212,Structural Mechanics and Materials Sessional,MMS2,4.30pm-5.55pm,D102L
Sunday,CEN,CEN-32,CEN 351,Transportation Engineering I,AHT,4.30pm-5.55pm,D101L
Sunday,CEN,CEN-30,CEN 461,Irrigation & Flood Control,MAT,4.30pm-5.55pm,CL2
Sunday,CLB,LLB-34-B,CLB-250,Constitutional Law of BD.,MRI3,4.30pm-5.55pm,D301
Sunday,CSE,CSE-35-A,CSE 123,Electronics,MAB,4.30pm-5.55pm,308
Sunday,CSE,CSE-34-A,CSE 217,Data Structure,DKI,4.30pm-5.55pm,206
Sunday,CSE,CSE 32-D-A,CSE 221,Database Management Systems,CF-3 (New),4.30pm-5.55pm,307
Sunday,CSE,CSE 31-C,CSE 231,Operating System Concepts,MNJ,4.30pm-5.55pm,307
Sunday,CSE,CSE-31A,CSE 321,Software Engineering,MFA2,4.30pm-5.55pm,214
Sunday,CSE,CSE 31-A,CSE 323,Com. Networks,MMH2,4.30pm-5.55pm,110
Sunday,CSE,CSE-31-D-C,CSE 324,Com. Networks Lab,MMH2,4.30pm-5.55pm,B601L
Sunday,CSE,CSE 30-D-A1,CSE 412,Compiler Sessional,MTR,4.30pm-5.55pm,D204L
Sunday,CSE,CSE 30-D-A2,CSE 422,Com. Graphics Lab,MFF,4.30pm-5.55pm,303L
Sunday,CSE,CSE 28-D-A,CSE 424,Simulation & Modeling Lab,MNJ,4.30pm-5.55pm,D202L
Sunday,DBA,BBA-34-B,ENG 200,Advanced Reading Strategy & Writing,MGJ,4.30pm-5.55pm,208
Sunday,EEE,CEN-36,EEE 101,Basic Electrical Technology,MZN,4.30pm-5.55pm,B204
Sunday,EEE,EEE-35,EEE 121,Electrical Circuit II,DKC,4.30pm-5.55pm,D201L
Sunday,EEE,EEE 31,EEE 322,Power System Lab,MNP,4.30pm-5.55pm,105L
Sunday,EEE,EEE-30,EEE 332,Micro. & Interfacing Lab,MRI2,4.30pm-5.55pm,D205L
Sunday,ENG,BBA-36-B,ENG 101,Composition,MJA3,4.30pm-5.55pm,119
Sunday,ENG,ENG-35,ENG 103,Listening and Speaking Skills,MJA3,4.30pm-5.55pm,219
Sunday,ENG,ENG-32A,ENL 201,History of English Literature – 2,MMR2,4.30pm-5.55pm,119
Sunday,LLB,LLB-32B,GCA 358,General Clauses Act & Interpretation of Statutes,MAT2,4.30pm-5.55pm,117
Sunday,BFT,BFT-34,GMT 111,Sewing Technology,MFC,4.30pm-5.55pm,D105L
Sunday,BBA,BBA-36-A,HIST-101,Hist. of the Emer. of Ind. Bang.,KCB,4.30pm-5.55pm,219
Sunday,JRN,JRN-34,BPJ 301,Comprehensive Reporting,DAC (GT),4.30pm-5.55pm,D305
Sunday,LLB,LLB 36 A,ENG 101,Composition,AHF,4.30pm-5.55pm,305
Sunday,EEE,EEE-34,MEC 213,Fund. of Mechanical Engineering,MRT,4.30pm-5.55pm,301L
Sunday,BBA,BBA-33-A,MGT 201,Organ. Behavior,MAR2,4.30pm-5.55pm,112
Sunday,BBA,BBA-32-B,MGT 301,Human Resource Management,MAN,4.30pm-5.55pm,113
Sunday,BFT,BFT-35,TEX 211,Fiber-Yarn-Fabric,ADB,4.30pm-5.55pm,116
Sunday,BTE,BTE-34,TEX 216,Fabric Manufacturing Engineering-l Lab,ADB,4.30pm-5.55pm,D 104L
Sunday,BTE,BTE-30-FME,TEX 473,Fabric Manufacturing -III Lab,MJK2,4.30pm-5.55pm,101-L
Sunday,BTE,BTE-30-WPE,TEX 482,Wet Processing Engineering -III,MSM2,4.30pm-5.55pm,302 L
Sunday,BTE,BTE-29-AME,TEX 493,Apparel Manufacturing Engineering -III Lab,MSS,4.30pm-5.55pm,C 602 L
Monday,BBA,BBA-36-A,ACC 100,Financial Accounting,MTY,8.30am-09.55am,219
Monday,BBA,BBA-31,ACC 403,Strategic Management Accounting (BBA-,MPS,8.30am-09.55am,218
Monday,BBA,BBA-30,ACC 406,Advanced Financial Accounting II (BBA-,MAA,8.30am-09.55am,318
Monday,ENG,ENG-31B,BAG 201,Intr. to Bengali Literature,MHT,8.30am-09.55am,213
Monday,BFT,BFT-32,MKT 200,Principle of Marketing,MRC,8.30am-09.55am,D305
Monday,JRN,JRN-35,BPJ 202,Editing,PKS,8.30am-09.55am,B205
Monday,JRN,JRN-30,BPJ 410,Web Journalism,MSZ,8.30am-09.55am,B204
Monday,BTE,BTE-34,HUM 100,Bangladesh Studies,ASR,8.30am-09.55am,204
Monday,CEN,CEN-33,CEN 205,Com. Programming,ZRC,8.30am-09.55am,D102L
Monday,CEN,CEN-31,CEN 342,Geotechnical Engineering Sessional I,SMA,8.30am-09.55am,CL2
Monday,CEN,CEN-28,CEN 432,Environmental Engineering Sessional II,MRA3,8.30am-09.55am,D101L
Monday,CSE,CSE 35-A,CHEM 111,Chemistry,MJA,8.30am-09.55am,308
Monday,CSE,BTE-35-A1,CHEM 124,Chemistry-ll Lab,MJA,8.30am-09.55am,216-L
Monday,EEE,EEE-36,CSE 131,Com. Programming Language,MTR,8.30am-09.55am,215
Monday,CSE,CSE 34-B,CSE 213,Digital Logic Design,CF-1 (New),8.30am-09.55am,308
Monday,DBA,BBA-FIN-C,FIN 401,Fund. of Investment,MFA,8.30am-09.55am,112
Monday,EEE,EEE-34,EEE 211,Electronics I,MNP,8.30am-09.55am,D205L
Monday,EEE,EEE-32,EEE 337,Electrical Power Transmission and Distribution,MNB,8.30am-09.55am,D201L
Monday,ENG,ENG-30B,ENL 407,20th Century Literature II,MFT,8.30am-09.55am,D301
Monday,ENG,ENG-33A,ENL 203,Romantic Literature – 1,AHF,8.30am-09.55am,211
Monday,ENG,ENG-32A,HIS 202,History of Eastern Thoughts and Religion,MBS,8.30am-09.55am,214
Monday,HRM,HRM-31,HRM 402,Industrial Relations (BBA-,MAR2,8.30am-09.55am,219
Monday,CSE,CSE 34-A,HUM 100,Bangladesh Studies,KCB,8.30am-09.55am,116
Monday,JRN,JRN-33,BPJ 209,Statistics,MSH,8.30am-09.55am,D304
Monday,LLB,LLB-35B,LEH 151,Legal History and Roman law,SSC,8.30am-09.55am,221
Monday,LLB,LLB-29,DAC 458,"Drafting, Conveyancing and Mock Trial",MRI3,8.30am-09.55am,315
Monday,CEN,CEN-36,MATH 111,Mathematics I,SRA,8.30am-09.55am,109L
Monday,CSE,CSE 33-C,Math 325,Differential Equation and Fourier Analysis,SRA,8.30am-09.55am,206
Monday,DBA,BBA-33-C,MGT 201,Organ. Behavior,DUG,8.30am-09.55am,113
Monday,DBA,BBA-32-D,MGT 301,Human Resource Management,MAN,8.30am-09.55am,214
Monday,JRN,JRN-34,MIS 100,Com. Concept,MRB,8.30am-09.55am,D305
Monday,BTE,BTE-31,TEX 325,Technical Textile,MSM2,8.30am-09.55am,117
Monday,BTE,BTE-30-FME,TEX 472,Fabric Manufacturing Engineering -III,MJK2,8.30am-09.55am,D 104 L
Monday,BTE,BTE-30-WPE,TEX 484,Special Wet Processing,MIK,8.30am-09.55am,302 L
Monday,BTE,BTE-29-AME,TEX 497,Application of Com. in GMT,NTH,8.30am-09.55am,C 602 L
Monday,BTE,BTE-30-AME,TEX 497,Application of Com. in GMT,MSS,8.30am-09.55am,101 L
Monday,DBA,BBA-31,ACC 405,Intro. to Accounting Theory and practice(BBA-,MSK,10.00am-11.25am,206
Monday,BFT,BFT-31,PAT 312,Analysis of Creative Fas. Design Lab,MAI2,10.00am-11.25am,D105L
Monday,JRN,JRN-35,BPJ 211,Mass Media Ethics and Law,MPC2,10.00am-11.25am,B205
Monday,JRN,JRN-30,BPJ 410,Web Journalism,MSZ,10.00am-11.25am,B204
Monday,BTE,BTE-35-A2,CHEM 124,Chemistry-ll Lab,MJA,10.00am-11.25am,216-L
Monday,DBA,BBA-36-B,BUS 100,Intro. to Business,MKI,10.00am-11.25am,318
Monday,DBA,BBA-34-B,BUS 200,Business Communication,DUG,10.00am-11.25am,312
Monday,CEN,CEN-36,CEN 100,Civil Engineering Drawing I,MAT,10.00am-11.25am,109L
Monday,CEN,CEN-33,CEN 205,"Numerical Methods (Mid – Theory, Final – Lab)",ZRC,10.00am-11.25am,D102L
Monday,CEN,CEN-31,CEN 342,Geotechnical Engineering Sessional I,SMA,10.00am-11.25am,CL2
Monday,CEN,CEN-29,CEN 416,Structural Analysis and Design Sessional III,MRA3,10.00am-11.25am,D101L
Monday,BTE,BTE-32,CHEM 221,Color Chemistry,MIK,10.00am-11.25am,204
Monday,LLB,LLB-33A,CLU 253,Constitutional Law of UK and USA,SSC,10.00am-11.25am,221
Monday,CSE,CSE 36-B,CSE 111,Com. Fund. & Programming Tech.,CF-2 (New),10.00am-11.25am,307
Monday,CSE,CSE-31-D-A,CSE 323,Com. Networks,MMH2,10.00am-11.25am,222
Monday,LLB,LLB-29,DAC 458,"Drafting, Conveyancing and Mock Trial",MRI3,10.00am-11.25am,315
Monday,DBA,BBA-FIN-A,FIN 405,Working Capital Mgt,MFA,10.00am-11.25am,110
Monday,EEE,EEE-34,EEE 235,Continuous Signal and Linear System,MNB,10.00am-11.25am,D201L
Monday,EEE,EEE-33,EEE 243,Electromagnetic Fields and Waves,AJI,10.00am-11.25am,D205L
Monday,EEE,EEE-32,EEE 314,Digital Electronics Lab,DKC,10.00am-11.25am,301L
Monday,ENG,ENG-30A,ECO 100,Economics,MKM,10.00am-11.25am,110
Monday,ENG,ENG-33B,ENL 203,Romantic Literature – 1,AHF,10.00am-11.25am,211
Monday,ENG,ENG-33A,ENL 301,Romantic Literature – 2,RKM,10.00am-11.25am,208
Monday,ENG,ENG-32B,ENL 307,19th Century Literature – II,MTM,10.00am-11.25am,111
Monday,ENG,ENG-31A,FIN 200,Principles of Business Finance,MJN,10.00am-11.25am,305
Monday,BFT,BFT-33,GMT 110,Intro. to Fas. and Clothing Related Ind. in Bangla,MFC,10.00am-11.25am,315
Monday,BFT,BFT-34 A,GMT 112,Sewing Technology Lab,SNA,10.00am-11.25am,C510L
Monday,DBA,BBA-31,HRM 403,International Management (BBA-,MRS2,10.00am-11.25am,212
Monday,DBA,BBA-30,HRM 404,Training & Development (BBA-,MAR2,10.00am-11.25am,B204
Monday,CEN,CEN-34,HUM 110,Bangladesh Studies,FSC,10.00am-11.25am,CL1
Monday,JRN,JRN-33,BPJ 306,Development Communication,MDA,10.00am-11.25am,D304
Monday,LLB,LLB-35B,MUL 154,Muslim Law,MAP,10.00am-11.25am,118
Monday,DBA,BBA 35-A,MAT 100,Business Mathematics I,NKC,10.00am-11.25am,218
Monday,BTE,BTE-31,MECH 425,Production Planning & Control,MRK,10.00am-11.25am,D304
Monday,DBA,BBA-33-B,MGT 201,Organ. Behavior,MAN,10.00am-11.25am,112
Monday,MKT,MKT-31,MKT 603,Consumer Behavior (BBA–,AZM,10.00am-11.25am,113
Monday,BFT,BFT-30,PAT 422,Fas. design IV: Portfolio Presentation Lab,AIT,10.00am-11.25am,223L
Monday,LLB,LLB-32A,PDR 355,Law of Reg. and Rec. of Pub. Dem. -,MSH4,10.00am-11.25am,D301
Monday,CSE,CSE 36-A,PHY 111,Physics-I,MAH,10.00am-11.25am,306
Monday,EEE,EEE-36,PHY 112,PHYSICS-I LAB,MMU,10.00am-11.25am,220L
Monday,BTE,BTE-30-FME,TEX 472,Fabric Manufacturing Engineering -III,MJK2,10.00am-11.25am,D 104 L
Monday,BTE,BTE-30-WPE,TEX 482,Wet Processing Engineering -III,MSM2,10.00am-11.25am,302 L
Monday,BTE,BTE-29-AME,TEX 496,Apparel Manufacturing Engineering -IV Lab,NTH,10.00am-11.25am,C 602 L
Monday,BTE,BTE-30-AME,TEX 497,Application of Com. in GMT,MSS,10.00am-11.25am,101L
Monday,BBA,BBA-31,ACC 401,Advanced Financial Accounting-I(BBA-,MSK,11.30am-12.55pm,315
Monday,BFT,BFT-30,PAT 422,Fas. design IV: Portfolio Presentation Lab,AIT,11.30am-12.55pm,223L
Monday,JRN,JRN-36,BPJ 102,Concept of Journalism,MDA,11.30am-12.55pm,D305
Monday,JRN,JRN-35,BPJ 211,Mass Media Ethics and Law,MPC2,11.30am-12.55pm,B205
Monday,LLB,LLB-32B,BSL 359,Banking and Security Law –,MSH4,11.30am-12.55pm,310
